Strain_Number,Strain,LogCFU,Replicate
DAB23,PsyCit7,0,A
DAB23,PsyCit7,0,A
DAB23,PsyCit7,3.361727836,A
DAB23,PsyCit7,0,A
DBL896,PaePA01,3.903089987,A
DBL896,PaePA01,4.698970004,A
DBL896,PaePA01,5.041392685,A
DBL896,PaePA01,5,A
DAB2,PsyB728a,4.77815125,A
DAB2,PsyB728a,4.301029996,A
DAB2,PsyB728a,4.602059991,A
DAB2,PsyB728a,4.204119983,A
none,,4.903089987,A
none,,4.77815125,A
none,,5.301029996,A
none,,4.84509804,A
DAB23,PsyCit7,2.903089987,B
DAB23,PsyCit7,0,B
DAB23,PsyCit7,0,B
DAB23,PsyCit7,3.903089987,B
DBL896,PaePA01,3,B
DBL896,PaePA01,4.698970004,B
DBL896,PaePA01,4,B
DBL896,PaePA01,3.477121255,B
DAB2,PsyB728a,4.602059991,B
DAB2,PsyB728a,4.602059991,B
DAB2,PsyB728a,4.477121255,B
DAB2,PsyB728a,4.84509804,B
none,No Tailocin,4,B
none,No Tailocin,4.602059991,B
none,No Tailocin,4.77815125,B
none,No Tailocin,4,B
DAB2,PsyB728a,4.301029996,C
DAB2,PsyB728a,4.84509804,C
DAB2,PsyB728a,5,C
none,No Tailocin,3.602059991,C
none,No Tailocin,4.477121255,C
none,No Tailocin,3.84509804,C
none,No Tailocin,4.301029996,C
DAB23,PsyCit7,3.204119983,C
DAB23,PsyCit7,0,C
DAB23,PsyCit7,0,C
DAB23,PsyCit7,0,C
DBL896,PaePA01,4.77815125,C
DBL896,PaePA01,4.146128036,C
DBL896,PaePA01,4.698970004,C
DBL896,PaePA01,5,C
DAB2,PsyB728a,4.301029996,D
DAB2,PsyB728a,4.84509804,D
DAB2,PsyB728a,5,D
none,No Tailocin,3.602059991,D
none,No Tailocin,4.477121255,D
none,No Tailocin,3.84509804,D
none,No Tailocin,4.301029996,D
DAB23,PsyCit7,3.204119983,D
DAB23,PsyCit7,0,D
DAB23,PsyCit7,0,D
DAB23,PsyCit7,0,D
DBL896,PaePA01,4.77815125,D
DBL896,PaePA01,4.146128036,D
DBL896,PaePA01,4.698970004,D
DBL896,PaePA01,5,D
