Area,Normalized_Area,Treatment,Assay,Strain,Strain_ordered
18996,0.965194858,wt,1,DBL880,A
17692,0.898938062,wt,1,DBL880,A
21111,1.07265891,wt,1,DBL880,A
21377,1.086174483,wt,1,DBL880,A
20880,1.060921701,wt,1,DBL880,A
18030,0.916111986,wt,1,DBL880,A
17326,0.992495847,wt,2,DBL880,A
19140,1.096408318,wt,2,DBL880,A
14745,0.844646847,wt,2,DBL880,A
16870,0.96637452,wt,2,DBL880,A
18624,1.066849974,wt,2,DBL880,A
18038,1.033281778,wt,2,DBL880,A
13081,0.9036336,wt,3,DBL880,A
13892,0.959657364,wt,3,DBL880,A
19744,1.363912683,wt,3,DBL880,A
12860,0.888366952,wt,3,DBL880,A
14515,1.002694114,wt,3,DBL880,A
12766,0.881873446,wt,3,DBL880,A
29392,1.49342005,pMP,1,DBL907,B
29410,1.494334637,pMP,1,DBL907,B
30324,1.540775367,pMP,1,DBL907,B
30934,1.571769727,pMP,1,DBL907,B
29265,1.486967126,pMP,1,DBL907,B
29708,1.509476145,pMP,1,DBL907,B
29555,1.693017128,pMP,2,DBL907,B
27624,1.582402475,pMP,2,DBL907,B
28657,1.641576445,pMP,2,DBL907,B
27468,1.573466231,pMP,2,DBL907,B
26458,1.515609784,pMP,2,DBL907,B
27744,1.589276508,pMP,2,DBL907,B
30952,2.138159713,pMP,3,DBL907,B
25872,1.787234043,pMP,3,DBL907,B
29567,2.042484112,pMP,3,DBL907,B
30179,2.084760984,pMP,3,DBL907,B
27020,1.866537718,pMP,3,DBL907,B
31270,2.160127107,pMP,3,DBL907,B
33160,2.290688035,pMP,3,DBL907,B
31100,2.148383531,pMP,3,DBL907,B
27030,1.422631579,pMP,1,DBL187,D
27624,1.453894737,pMP,1,DBL187,D
30172,1.588,pMP,1,DBL187,D
28668,1.508842105,pMP,1,DBL187,D
28500,1.5,pMP,1,DBL187,D
28524,1.501263158,pMP,1,DBL187,D
28500,1.519675802,pMP,2,DBL187,D
28649,1.527620774,pMP,2,DBL187,D
27030,1.441292524,pMP,2,DBL187,D
26734,1.425509225,pMP,2,DBL187,D
25168,1.342007038,pMP,2,DBL187,D
25717,1.371280793,pMP,2,DBL187,D
28657,1.418312299,pMP,3,DBL187,D
25460,1.260084138,pMP,3,DBL187,D
31428,1.55545657,pMP,3,DBL187,D
28204,1.395892106,pMP,3,DBL187,D
28048,1.388171245,pMP,3,DBL187,D
24328,1.204058401,pMP,3,DBL187,D
40832,2.020885919,pMP,3,DBL187,D
25318,1.253056174,pMP,3,DBL187,D
26724,1.32264291,pMP,3,DBL187,D
26024,1.28799802,pMP,3,DBL187,D
26160,1.294729027,pMP,3,DBL187,D
32534,1.610195496,pMP,3,DBL187,D
17445,0.918157895,wt,1,DAB282,C
21524,1.132842105,wt,1,DAB282,C
19480,1.025263158,wt,1,DAB282,C
18744,0.986526316,wt,1,DAB282,C
17452,0.918526316,wt,1,DAB282,C
19360,1.018947368,wt,1,DAB282,C
23102,1.231843873,wt,2,DAB282,C
