Area,Normalized_Area,Treatment,Assay,Strain
953780,0.974284798,wt,1,DBL305
1009896,1.031607205,wt,1,DBL305
1064119,1.086995916,wt,1,DBL305
974540,0.995491106,wt,1,DBL305
938938,0.959123718,wt,1,DBL305
932452,0.952498279,wt,1,DBL305
988699,1.080674091,wt,2,DBL305
909212,0.993792703,wt,2,DBL305
885456,0.967826768,wt,2,DBL305
1049388,1.147008769,wt,2,DBL305
813764,0.889465521,wt,2,DBL305
842832,0.921237612,wt,2,DBL305
26450,1.007120283,wt,3,DBL305
24738,0.941933519,wt,3,DBL305
25876,0.98526444,wt,3,DBL305
27586,1.050375052,wt,3,DBL305
27473,1.046072421,wt,3,DBL305
25460,0.969424666,wt,3,DBL305
27612,1.009431893,wt,4,DBL305
27624,1.009870586,wt,4,DBL305
28802,1.052935585,wt,4,DBL305
27744,1.014257513,wt,4,DBL305
27480,1.004606273,wt,4,DBL305
24863,0.908934708,wt,4,DBL305
933112,0.953172468,pMP,1,DBL759
946851,0.967206835,pMP,1,DBL759
1041360,1.063747633,pMP,1,DBL759
988776,1.010033158,pMP,1,DBL759
892232,0.911413611,pMP,1,DBL759
1051380,1.073983047,pMP,1,DBL759
999120,1.092064519,pMP,2,DBL759
1116780,1.220670003,pMP,2,DBL759
1089832,1.191215128,pMP,2,DBL759
1056848,1.155162746,pMP,2,DBL759
855772,0.935381373,pMP,2,DBL759
1214462,1.327439006,pMP,2,DBL759
30022,1.143129117,pMP,3,DBL759
28202,1.073830103,pMP,3,DBL759
28943,1.102044702,pMP,3,DBL759
28794,1.096371321,pMP,3,DBL759
30656,1.167269543,pMP,3,DBL759
30156,1.148231352,pMP,3,DBL759
32856,1.201140601,pMP,4,DBL759
28072,1.026248446,pMP,4,DBL759
28359,1.036740513,pMP,4,DBL759
34810,1.272574395,pMP,4,DBL759
29420,1.075528259,pMP,4,DBL759
26024,0.951378226,pMP,4,DBL759
1059156,1.072527197,wt,5,DBL1604
1034064,1.047118425,wt,5,DBL1604
958732,0.970835405,wt,5,DBL1604
924956,0.936633004,wt,5,DBL1604
902520,0.913913763,wt,5,DBL1604
1045892,1.059095747,wt,5,DBL1604
885796,0.958588321,wt,6,DBL1604
926224,1.002338585,wt,6,DBL1604
863400,0.934351879,wt,6,DBL1604
967448,1.046950262,wt,6,DBL1604
926888,1.003057151,wt,6,DBL1604
974624,1.054715966,wt,6,DBL1604
30022,0.999034974,wt,7,DBL1604
29108,0.968620013,wt,7,DBL1604
30324,1.009084556,wt,7,DBL1604
30477,1.014175901,wt,7,DBL1604
29720,0.988985392,wt,7,DBL1604
30656,1.020132442,wt,7,DBL1604
876686,0.887753624,pMP,5,DBL1620
936572,0.948395649,pMP,5,DBL1620
865008,0.875928197,pMP,5,DBL1620
922584,0.934231059,pMP,5,DBL1620
988700,1.001181733,pMP,5,DBL1620
1017884,1.030734163,pMP,5,DBL1620
953652,1.032020544,pMP,6,DBL1620
974540,1.054625063,pMP,6,DBL1620
845214,0.914671402,pMP,6,DBL1620
1006400,1.089103232,pMP,6,DBL1620
956796,1.035422909,pMP,6,DBL1620
915888,0.991153201,pMP,6,DBL1620
32542,1.082892416,pMP,7,DBL1620
33176,1.103989884,pMP,7,DBL1620
32518,1.082093774,pMP,7,DBL1620
32344,1.076303617,pMP,7,DBL1620
35288,1.174270407,pMP,7,DBL1620
33822,1.125486673,pMP,7,DBL1620
