Area,Normalized_Area,Treatment,Assay,Strain
229020,0.989308624,wt,1,DBL305
242800,1.048834748,wt,1,DBL305
253324,1.094295773,wt,1,DBL305
200836,0.867560854,wt,1,DBL305
190048,0.913806534,wt,2,DBL305
201092,0.966909325,wt,2,DBL305
180912,0.869877966,wt,2,DBL305
265880,1.278429034,wt,2,DBL305
222220,1.068498947,wt,2,DBL305
187696,0.902497428,wt,2,DBL305
8816,0.918333333,wt,3,DBL305
9410,0.980208333,wt,3,DBL305
10211,1.063645833,wt,3,DBL305
12766,1.329791667,wt,3,DBL305
9001,0.937604167,wt,3,DBL305
7400,0.770833333,wt,3,DBL305
11125,1.115511882,wt,4,DBL305
9778,0.980447207,wt,4,DBL305
10389,1.041712624,wt,4,DBL305
11128,1.115812694,wt,4,DBL305
8746,0.876967813,wt,4,DBL305
8672,0.869547779,wt,4,DBL305
207524,0.896451327,pMP,1,DBL759
182444,0.788112054,pMP,1,DBL759
218964,0.945869241,pMP,1,DBL759
180872,0.781321411,pMP,1,DBL759
225612,0.974586924,pMP,1,DBL759
185436,0.801036739,pMP,1,DBL759
146456,0.70420341,pMP,2,DBL759
191644,0.92148057,pMP,2,DBL759
196670,0.945647052,pMP,2,DBL759
163232,0.784867339,pMP,2,DBL759
177968,0.85572235,pMP,2,DBL759
180578,0.868271996,pMP,2,DBL759
7632,0.795,pMP,3,DBL759
7701,0.8021875,pMP,3,DBL759
8096,0.843333333,pMP,3,DBL759
7482,0.779375,pMP,3,DBL759
8096,0.843333333,pMP,3,DBL759
7859,0.818645833,pMP,3,DBL759
8248,0.827032989,pMP,4,DBL759
7934,0.79554798,pMP,4,DBL759
9684,0.971021759,pMP,4,DBL759
8412,0.843477389,pMP,4,DBL759
8248,0.827032989,pMP,4,DBL759
8503,0.852602025,pMP,4,DBL759
9176,0.920084227,pMP,4,DBL759
8816,0.883986764,pMP,4,DBL759
9507,0.953273839,pMP,4,DBL759
10216,1.024365788,pMP,4,DBL759
10302,1.03298907,pMP,4,DBL759
211948,1.021219597,wt,5,DBL1604
179444,0.864607023,wt,5,DBL1604
207524,0.999903635,wt,5,DBL1604
237560,1.144624754,wt,5,DBL1604
193236,0.931060402,wt,5,DBL1604
215556,1.038603862,wt,5,DBL1604
191272,0.998314152,wt,6,DBL1604
173428,0.905180198,wt,6,DBL1604
173428,0.905180198,wt,6,DBL1604
215556,1.125060675,wt,6,DBL1604
210380,1.098045356,wt,6,DBL1604
185508,0.96822986,wt,6,DBL1604
10580,1.072587186,wt,7,DBL1604
10029,1.016727494,wt,7,DBL1604
9337,0.946573398,wt,7,DBL1604
10116,1.025547445,wt,7,DBL1604
9179,0.930555556,wt,7,DBL1604
9946,1.008313058,wt,7,DBL1604
128176,0.617584705,pMP,5,DBL1620
108688,0.523686544,pMP,5,DBL1620
85520,0.412057202,pMP,5,DBL1620
113196,0.545407239,pMP,5,DBL1620
89708,0.432236056,pMP,5,DBL1620
98428,0.474251243,pMP,5,DBL1620
80424,0.419760432,pMP,6,DBL1620
111044,0.579576711,pMP,6,DBL1620
112252,0.585881677,pMP,6,DBL1620
105124,0.548678201,pMP,6,DBL1620
149112,0.778266656,pMP,6,DBL1620
85276,0.445084684,pMP,6,DBL1620
5681,0.575932685,pMP,7,DBL1620
5740,0.581914031,pMP,7,DBL1620
5478,0.555352798,pMP,7,DBL1620
5673,0.575121655,pMP,7,DBL1620
5222,0.529399838,pMP,7,DBL1620
6284,0.637064071,pMP,7,DBL1620
