Comp_Fitness,Strain_Pair,Assay
0.984292704,C305-1604,1
0.990776284,C305-1604,1
0.99518605,C305-1604,2
0.996552613,C305-1604,2
1.000334332,C305-1604,2
1.001867083,C305-1604,1
1.002228925,C305-1604,1
1.009015891,C305-1604,2
1.012164576,C305-1604,3
1.024580858,C305-1604,3
1.05357259,C305-1604,3
1.05357259,C305-1604,3
0.696028482,D305-1620,3
0.706202079,D305-1620,3
0.711685662,D305-1620,3
0.713202756,D305-1620,3
0.830087135,D305-1620,2
0.835487778,D305-1620,2
0.83858995,D305-1620,2
0.862310915,D305-1620,2
0.880491692,D305-1620,1
0.911963714,D305-1620,1
0.916136798,D305-1620,1
0.927490923,D305-1620,1
