Relative Fitness,Treatment,Replicate,Experiment
0.8167015869,0,A,Cipro
0.797986252,0,A,Cipro
0.8182841868,0,A,Cipro
0.811443337,0,A,Cipro
1.687894525,0.5,A,Cipro
1.286770284,0.5,A,Cipro
1.191062133,0.5,A,Cipro
1.41919536,0.5,A,Cipro
0.8047999772,0,B,Cipro
0.8731763676,0,B,Cipro
0.9236837047,0,B,Cipro
0.8759500163,0,B,Cipro
1.354489121,0.5,B,Cipro
1.484879877,0.5,B,Cipro
1.421772368,0.5,B,Cipro
1.56261422,0.5,B,Cipro
0.7812791286,0,C,Cipro
0.8448704359,0,C,Cipro
0.8777462725,0,C,Cipro
0.8386507517,0,C,Cipro
1.362209838,0.5,C,Cipro
1.33794793,0.5,C,Cipro
1.296674971,0.5,C,Cipro
1.254297673,0.5,C,Cipro
0.8804087591,27,D,Temp
0.8840156211,27,D,Temp
0.8218933184,27,D,Temp
0.7565373492,27,D,Temp
0.6352915695,37,D,Temp
0.6249846449,37,D,Temp
0.621477451,37,D,Temp
0.6383977608,37,D,Temp
0.8065020705,27,E,Temp
0.8358740298,27,E,Temp
0.8223295492,27,E,Temp
0.8196387312,27,E,Temp
0.5187160693,37,E,Temp
0.5344933887,37,E,Temp
0.5282322615,37,E,Temp
0.5128843704,37,E,Temp
0.8851063008,27,F,Temp
0.7802020547,27,F,Temp
0.8497300769,27,F,Temp
0.869523602,27,F,Temp
0.6533494692,37,F,Temp
0.6533494692,37,F,Temp
0.6479400234,37,F,Temp
0.6593440453,37,F,Temp
0.9302075419,0,G,Nal
0.922346751,0,G,Nal
0.9263188232,0,G,Nal
0.8988316953,0,G,Nal
1.036310214,20,G,Nal
1.043358808,20,G,Nal
1.061026457,20,G,Nal
1.011830072,20,G,Nal
1.296071125,40,G,Nal
1.343137122,40,G,Nal
1.296071125,40,G,Nal
0.8458751662,0,H,Nal
0.8564570791,0,H,Nal
0.8309597072,0,H,Nal
0.8003020354,0,H,Nal
0.97619683,20,H,Nal
0.9749852693,20,H,Nal
1.005568708,20,H,Nal
1.032548661,20,H,Nal
1.055337915,40,H,Nal
1.022560666,40,H,Nal
1.060922754,40,H,Nal
1.008389385,40,H,Nal
